"stop_id","stopa_name","lat","lng"
"7414","AG Export Garment(towards - Nelamangala)","13.12041601","77.39244618"
"7413","AG Export Garments(towards - Madhure)","13.12049960","77.39235699"
"1613","Agalakote(towards - Devanahalli)","13.21285389","77.73608630"
"1601","Agalakote(towards - Budigere)","13.21286715","77.73608634"
"770","Agara(towards - Hebbala)","12.92453611","77.65037150"
"2969","Agara(towards - Gangasandra)","12.84445595","77.48705925"
"2968","Agara(towards - Banashankari)","12.84473566","77.48702011"
"941","Agara (HSR Layout 27th Main)(towards - CPWD Qtrs)","12.92373455","77.65175584"
"11925","Agara (HSR Layout 27th Main)(towards - Agara Junction)","12.92395803","77.65168235"
"10920","Agara (Kaggalipura)(towards - Gangasandra)","12.84290075","77.48612970"
"10921","Agara (kaggalipura)(towards - Kaggalipura)","12.84288574","77.48628997"
"10685","Agara (Outer Ring Road)(towards - Central Silk Board)","12.92422861","77.65046865"
"2996","Agara Cross(towards - Banasshankari)","12.84895973","77.52202626"
"2997","Agara Cross(towards - Kaggalipura)","12.84888847","77.52201896"
"8637","Agara Gate Kanakapura Road(towards - Agara)","12.84891614","77.52190367"
"11821","Agara Junction(towards - Parangipalya)","12.92463970","77.65000798"
"11417","Agara Junction(towards - Jakkasandra)","12.92462924","77.64937833"
"7266","Agrahara Dasarahalli(towards - Kottigepalya)","12.97886785","77.54073344"
"313","Agrahara Dasarahalli(towards - Magadi Road Tollgate)","12.97852542","77.54296472"
"5375","Agrahara Layout","13.09845303","77.62733727"
"5374","Agrahara Layout(towards - Kogilu)","13.09848700","77.62732789"
"9270","Agrahara Layout Cross(towards - Sampigehalli)","13.09781038","77.61842027"
"8399","Agrahara Layout Cross(towards - Agrahara Layout)","13.10265313","77.62768731"
"9268","Agrahara Layout Cross(towards - Kogilu)","13.09787308","77.61832505"
"10736","Agraharapalya Gate(towards - Guddahalli)","13.13062032","77.45337188"
"10735","Agraharapalya Gate(towards - Hosahallipalya)","13.13074570","77.45348185"
"8562","AGS Layout(towards - Vidyaniketan Public School)","12.95175232","77.47923374"
"8561","AGS Layout(towards - Manganahalli)","12.95160855","77.47921228"
"1966","AGs Layout Arehalli","12.91253339","77.53705447"
"1995","AGs Layout Arehalli(towards - Kamakya)","12.91243824","77.53702523"
"10875","AGS Layout Cross(towards - Ittamadu)","12.91352822","77.54087828"
"10876","AGS Layout Cross(towards - AGS Layout)","12.91343867","77.54095405"
"10767","AIR FORCE QUARTERS(towards - Shettahalli Cross)","13.05895983","77.52137594"
"10768","AIR FORCE QUARTERS(towards - Shettahalli)","13.05893501","77.52133101"
"1640","Airlines Dhaba Gate(towards - Tellohalli Gate)","13.22272186","77.74098300"
